title,game_name,game_alias,game_image_url,game_web_link,review_score,profile_dev,profile_platforms,release_world,main_story,main_extra,completionist,all_styles,
"batman: arkham city","Batman: Arkham City","","https://howlongtobeat.com/games/250px-ArkhamCity.jpg","https://howlongtobeat.com/game/882","86","Rocksteady Studios","['OnLive', 'PC', 'PlayStation 3', 'PlayStation 4', 'Wii U', 'Xbox 360', 'Xbox One']","2011","12.44","21.42","46.0","18.13",
"lego indiana jones","LEGO Indiana Jones: The Original Adventures","","https://howlongtobeat.com/games/252px-Lego_Indiana_Jones_cover.jpg","https://howlongtobeat.com/game/5253","71","Traveller","['PC', 'Nintendo DS', 'PlayStation 2', 'PlayStation 3', 'PlayStation Portable', 'Wii', 'Xbox 360', 'Xbox One']","2008","9.75","14.09","20.34","15.15",
"star wars: fallen order",,,,,,,,,,,,,
"sekiro: shadows die twice","Sekiro: Shadows Die Twice","Sekiro: Shadows Die Twice - GOTY Edition","https://howlongtobeat.com/games/57415_Sekiro_Shadows_Die_Twice.jpg","https://howlongtobeat.com/game/57415","90","FromSoftware","['Google Stadia', 'PC', 'PlayStation 4', 'Xbox One']","2019","29.56","42.32","69.93","44.83",
"bastion","Bastion","","https://howlongtobeat.com/games/250px-Bastion_Boxart.jpg","https://howlongtobeat.com/game/869","81","Supergiant Games","['Mobile', 'PC', 'Nintendo Switch', 'PlayStation 4', 'PlayStation Vita', 'Xbox 360', 'Xbox One']","2011","6.25","9.23","20.3","8.12",
"horizon zero dawn 2",,,,,,,,,,,,,
"black mesa ***",,,,,,,,,,,,,
"skyrim/skyrim zombie survival",,,,,,,,,,,,,
"surviving the aftermatch",,,,,,,,,,,,,
"mount and blade ii **",,,,,,,,,,,,,
"dead island series ***",,,,,,,,,,,,,
"minecraft zombie survival",,,,,,,,,,,,,
"this war of mine dlc's ***",,,,,,,,,,,,,
"metal gear peace walker *",,,,,,,,,,,,,
"shadow of mordor 2 *",,,,,,,,,,,,,
"dusk *",,,,,,,,,,,,,
"outer wilds","Outer Wilds","","https://howlongtobeat.com/games/57527_Outer_Wilds.jpg","https://howlongtobeat.com/game/57527","90","Mobius Digital","['Nintendo Switch', 'PC', 'PlayStation 4', 'PlayStation 5', 'Xbox One', 'Xbox Series X/S']","2019","16.39","21.63","26.16","20.94",
"trover saves the universe","Trover Saves the Universe","","https://howlongtobeat.com/games/59372_Trover_Saves_the_Universe.jpg","https://howlongtobeat.com/game/59372","74","Squanch Games","['Nintendo Switch', 'Oculus Quest', 'PC', 'PlayStation 4', 'Xbox One']","2019","5.09","6.35","8.21","6.3",
"darkwood **",,,,,,,,,,,,,
"ghost of a tale ***",,,,,,,,,,,,,
"yakuza series ***",,,,,,,,,,,,,
"darq **",,,,,,,,,,,,,
"eternal darkness gamecube game **",,,,,,,,,,,,,
"spiritfarer **",,,,,,,,,,,,,
"journey to the savage planet *",,,,,,,,,,,,,
"disco elyssum *",,,,,,,,,,,,,
"prison architect","Prison Architect","","https://howlongtobeat.com/games/Prison_Architect_Logo.jpg","https://howlongtobeat.com/game/7308","73","Introversion Software","['Linux', 'Mac', 'Nintendo Switch', 'PC', 'PlayStation 4', 'Xbox One']","2015","16.61","42.85","62.52","28.89",
"rebel galaxy outlaw","Rebel Galaxy Outlaw","","https://howlongtobeat.com/games/67855_Rebel_Galaxy_Outlaw.jpg","https://howlongtobeat.com/game/67855","70","Double Damage","['Nintendo Switch', 'PC', 'PlayStation 4', 'Xbox One']","2019","16.68","33.95","58.87","33.91",
"wolfenstein ii and wolfenstein young blood",,,,,,,,,,,,,
"amnesia series",,,,,,,,,,,,,
"far lone sails","FAR: Lone Sails","","https://howlongtobeat.com/games/56531_FAR_Lone_Sails.jpg","https://howlongtobeat.com/game/56531","76","Okomotive","['Mac', 'Mobile', 'Nintendo Switch', 'PC', 'PlayStation 4', 'Xbox One']","2018","3.05","3.25","5.85","3.2",
"diluvion","Diluvion","","https://howlongtobeat.com/games/40967_Diluvion.jpg","https://howlongtobeat.com/game/40967","30","Arachnid Games","['PC']","2017","14.91","15.25","0.0","14.65",
"vanquish pc and bayonetta pc",,,,,,,,,,,,,
"mars: war logs","Mars: War Logs","","https://howlongtobeat.com/games/MarsWarLogs.jpg","https://howlongtobeat.com/game/5673","64","Spiders","['PC', 'PlayStation 3', 'Xbox 360']","2013","9.04","12.7","18.7","12.76",
"technomancer","The Technomancer","","https://howlongtobeat.com/games/38277_The_Technomancer.jpg","https://howlongtobeat.com/game/38277","62","Spiders","['PC', 'PlayStation 4', 'Xbox One']","2016","19.09","27.84","45.38","28.23",
"doom bfg and doom remake",,,,,,,,,,,,,
"the surge","The Surge","","https://howlongtobeat.com/games/44914_The_Surge.jpg","https://howlongtobeat.com/game/44914","72","Deck13","['PC', 'PlayStation 4', 'Xbox One']","2017","21.2","28.27","47.66","28.26",
"overland","Overland","","https://howlongtobeat.com/games/53303_Overland.jpg","https://howlongtobeat.com/game/53303","65","Finji","['Mobile', 'Nintendo Switch', 'PC', 'PlayStation 4', 'Xbox One']","2019","5.11","5.4","0.0","5.2",
"lords of the fallen","Lords of the Fallen","","https://howlongtobeat.com/games/Lords_of_The_Fallen.png","https://howlongtobeat.com/game/21618","64","Deck13 Interactive, CI Games","['PC', 'PlayStation 4', 'Xbox One']","2014","14.81","21.51","43.44","19.84",
"john wick hex","John Wick Hex","","https://howlongtobeat.com/games/67997_John_Wick_Hex.jpg","https://howlongtobeat.com/game/67997","56","Mike Bithell","['Nintendo Switch', 'PC', 'PlayStation 4', 'Xbox One', 'Xbox Series X/S']","2019","7.43","10.76","16.27","8.31",
"observer","Observer",">observer_","https://howlongtobeat.com/games/38127_Observer.jpg","https://howlongtobeat.com/game/38127","71","Bloober Team","['Nintendo Switch', 'PC', 'PlayStation 4', 'Xbox One']","2017","6.93","8.56","11.49","7.79",
"kingdom come dilverence",,,,,,,,,,,,,
"pyre","Pyre","","https://howlongtobeat.com/games/40340_Pyre.jpg","https://howlongtobeat.com/game/40340","81","Supergiant Games","['PC', 'PlayStation 4']","2017","11.12","14.69","20.67","13.7",
"0 ad",,,,,,,,,,,,,
"rage","Rage","","https://howlongtobeat.com/games/Rage_cover.jpg","https://howlongtobeat.com/game/7526","70","id Software","['PC', 'PlayStation 3', 'Xbox 360', 'Xbox One']","2011","11.12","15.51","23.12","14.36",
"retro game crunch","Retro Game Crunch","","https://howlongtobeat.com/games/Retro_Game_Crunch_header.jpg","https://howlongtobeat.com/game/25185","62","Rusty Moyher, Shaun Inman, Matt Grimm","['PC']","2014","5.6","10.33","12.46","10.95",
"darkest dungeon","Darkest Dungeon","","https://howlongtobeat.com/games/Darkest_Dungeon_header.jpg","https://howlongtobeat.com/game/22535","79","Red Hook Studios","['Nintendo Switch', 'PC', 'PlayStation 4', 'PlayStation Vita', 'Xbox One']","2015","55.6","81.07","109.5","74.72",
"the maw","The Maw","","https://howlongtobeat.com/games/Themawcover.jpg","https://howlongtobeat.com/game/10091","63","Twisted Pixel Games, Hothead Games","['PC', 'Xbox 360', 'Xbox One']","2009","3.05","3.93","5.06","3.9",
"condemned: criminal origins","Condemned: Criminal Origins","","https://howlongtobeat.com/games/Condemned.jpg","https://howlongtobeat.com/game/1881","75","Monolith Productions","['PC', 'Xbox 360', 'Xbox One']","2005","7.02","8.31","12.75","7.39",
"system shock enhanced edition","System Shock","System Shock: Enhanced Edition, System Shock: Classic","https://howlongtobeat.com/games/250px-Sysshock.jpg","https://howlongtobeat.com/game/9547","83","Looking Glass Studios","['PC']","1994","12.89","14.94","21.14","14.45",
"system shock 2","System Shock 2","","https://howlongtobeat.com/games/Systemshock2box.jpg","https://howlongtobeat.com/game/9548","87","Irrational Games, Looking Glass Studios","['PC']","1999","13.65","17.32","22.43","15.92",
"the escapists and expansions",,,,,,,,,,,,,
"alice series",,,,,,,,,,,,,
"distraint watch",,,,,,,,,,,,,
"a plague tale","A Plague Tale: Innocence","","https://howlongtobeat.com/games/65080_A_Plague_Tale_Innocence.jpeg","https://howlongtobeat.com/game/65080","80","Asobo Studio","['Nintendo Switch', 'PC', 'PlayStation 4', 'PlayStation 5', 'Xbox One', 'Xbox Series X/S']","2019","10.79","12.53","15.79","12.12",
"gunman taco truck","Gunman Taco Truck","","https://howlongtobeat.com/games/46641_Gunman_Taco_Truck.jpg","https://howlongtobeat.com/game/46641","0","Romero Games","['PC']","2017","0.0","7.1","0.0","7.1",
"batman arkham game last one",,,,,,,,,,,,,
"metal gear rising","Metal Gear Rising: Revengeance","","https://howlongtobeat.com/games/5905_Metal_Gear_Rising_Revengeance.jpg","https://howlongtobeat.com/game/5905","82","Platinum Games","['PC', 'PlayStation 3', 'Xbox 360']","2013","7.13","10.94","37.49","8.5",
"saints row series",,,,,,,,,,,,,
"legend of grimrock series",,,,,,,,,,,,,
"spooky's jump scare mansion","Spooky's Jump Scare Mansion","Spooky's House of Jump Scares","https://howlongtobeat.com/games/Spookys _House_of_Jump_Scares_header.jpg","https://howlongtobeat.com/game/26100","67","Lag Studios","['PC']","2015","3.85","4.37","6.05","4.18",
